gene,pValue,fdr,logFoldChange
ENSG00000016864,0.9310205295493673,0.9885704576021581,0.010688455933313894
ENSG00000017260,0.08341281418759434,0.5174929467701499,0.07946956454408644
ENSG00000017427,0.48322182757528087,0.893094114620783,-0.05543597772947417
ENSG00000017483,0.0003503645753328275,0.03935247710765476,-0.11714958701588077
ENSG00000017797,0.48322182757528087,0.893094114620783,0.038213315880964625
ENSG00000018189,0.9379049390508493,0.9885704576021581,-0.017877920513866
ENSG00000018236,0.7356788423848883,0.9197576622526338,0.09189102807138966
ENSG00000018280,0.1342621815743015,0.6300063434201435,0.16603046618270392
ENSG00000018408,0.209439034922428,0.756244637216779,-0.0642953487736728
ENSG00000018510,0.025531028002044903,0.3050145271503601,0.13891227589030752
ENSG00000018610,0.2531848849730791,0.8152485818721026,0.030052523186645745
ENSG00000018625,0.014300411609102613,0.23005356041285482,-0.2735147491692966
ENSG00000018699,0.02082553453578386,0.2754396125072939,-0.03463376207203689
ENSG00000018869,0.9516845509972259,0.992812235820995,0.00647731086555547
ENSG00000019102,0.0018869112564177857,0.08863167662187767,-0.18124406728629155
