Gene	baseMean	log2FoldChange	lfcSE	pvalue	padj	threshold
ENSG00000153044	1.0857327937414696	1.2991637058374814e-4	0.02509106740499606	0.9459697190862343	NA	NA
ENSG00000261087	0.9587622809267443	1.298437528370891e-4	0.025101297664948927	0.9747709498363766	NA	NA
ENSG00000247095	1.0869400054216458	1.295609008217428e-4	0.025091004241995292	0.945732006442144	NA	NA
ENSG00000197580	0.959467980221234	1.2862035755841026e-4	0.025101068167736985	0.9746215841958703	NA	NA
ENSG00000180644	0.9590831178241069	1.2796827274315413e-4	0.025100993491474256	0.9745958571301907	NA	NA
ENSG00000263001	0.9586436921610295	1.279143449565299e-4	0.02510099107477858	0.9745680674346353	NA	NA
ENSG00000272674	0.9587243770928376	1.2779915864995355e-4	0.025100990630031215	0.9746265872909177	NA	NA
ENSG00000169758	0.9592994053874068	1.2769286069892372e-4	0.025100927150831294	0.9744687174555332	NA	NA
ENSG00000240770	0.2538231447202828	1.2766807182224598e-4	0.02516011992624787	0.92414211490825	NA	NA
ENSG00000170500	0.9585412752985722	1.275799328039353e-4	0.02510098830837169	0.9747005351621735	NA	NA
ENSG00000271755	0.2542612234790476	1.2751828404796193e-4	0.025160117458780214	0.9241368750704816	NA	NA
ENSG00000171295	0.9583241978885129	1.2748125077260305e-4	0.02510098660826032	0.9747172102650916	NA	NA
ENSG00000123338	1.0869249496701607	1.2735693327150507e-4	0.02509091825478125	0.9455202527018346	NA	NA
ENSG00000063978	6.123035860508019	1.2722176935342215e-4	0.02470482848753628	0.9336063356837272	0.9954484076689559	FALSE
ENSG00000111602	0.25467129686439793	1.2719851307620614e-4	0.02516011368740622	0.9241319774361485	NA	NA
ENSG00000169660	0.11609264954311513	1.2649414232100052e-4	0.025172982464008946	0.934822919034572	NA	NA
ENSG00000007968	0.9585341265562465	1.263196506924122e-4	0.025100852737253473	0.974694823756714	NA	NA
ENSG00000182261	0.9585450183976623	1.263155079303579e-4	0.025100852752755084	0.9746979761111738	NA	NA
ENSG00000125895	0.1162964893264816	1.262843656645574e-4	0.0251729804255992	0.9348180250049352	NA	NA
ENSG00000136546	0.9584357237980472	1.2624618375980704e-4	0.025100851809693178	0.9747137585257933	NA	NA
ENSG00000133302	0.9591216935389949	1.2624442384021183e-4	0.025100795730515234	0.9745266910068342	NA	NA
ENSG00000101132	0.9591216935389949	1.26244423816464e-4	0.025100795730515067	0.974526691006834	NA	NA
ENSG00000113790	0.9591216935389949	1.26244423816464e-4	0.025100795730515067	0.974526691006834	NA	NA
ENSG00000149231	0.9591216935389949	1.26244423816464e-4	0.025100795730515067	0.974526691006834	NA	NA
ENSG00000171827	0.9591216935389949	1.26244423816464e-4	0.025100795730515067	0.974526691006834	NA	NA
ENSG00000175390	0.9591216935389949	1.26244423816464e-4	0.025100795730515067	0.974526691006834	NA	NA
ENSG00000230487	0.9590085492627638	1.2616348621636547e-4	0.02510079469845232	0.9745463563951545	NA	NA
ENSG00000177707	0.9590297506466061	1.2616016588584914e-4	0.02510079476702195	0.974550813497839	NA	NA
ENSG00000166225	0.9587531865153347	1.2614287212056819e-4	0.0251007935276561	0.9745210281405883	NA	NA
ENSG00000245571	0.9589487306879827	1.2610867666201133e-4	0.025100794072273152	0.9745620353027648	NA	NA
ENSG00000130717	0.9589337960584509	1.2609503710319617e-4	0.025100793916527354	0.9745659360227632	NA	NA
ENSG00000154330	0.958920256292301	1.2608270002988423e-4	0.025100793775688312	0.9745694639197479	NA	NA
ENSG00000103047	0.9590257389508396	1.260611045266958e-4	0.025100794053863736	0.9745929955560326	NA	NA
ENSG00000198846	0.9590121991846897	1.2604877996136543e-4	0.02510079391312292	0.974596523400614	NA	NA
ENSG00000196678	0.9585355846920195	1.2582240962166766e-4	0.025100790478281197	0.974632507027171	NA	NA
ENSG00000175548	0.958613566331829	1.2579399121644832e-4	0.025100790597665738	0.9746554789784625	NA	NA
ENSG00000271147	0.9585459175009226	1.2575457713077346e-4	0.02510079004326884	0.9746631856270586	NA	NA
